year,qtr,company,region,type,employee,revenue,profit,ceo
1997,1,1,7,asc,1642,1440996,877.5858709,
1997,3,1,7,asc,1622,1377223,849.0893958,
1997,4,1,7,asc,1534,1390647,906.5495437,
1998,1,1,7,asc,1576,1285088,815.4111675,
1998,2,1,7,asc,1702,1278088,750.93302,
1998,3,1,7,asc,1303,1092713,838.6132003,
1998,4,1,7,asc,1341,1152052,859.0991797,
1999,1,1,7,asc,1683,1567463,931.3505645,
1999,2,1,7,asc,1630,1537660,943.3496933,
1999,3,1,7,asc,1467,1412913,963.1308793,
1999,4,1,7,asc,1491,1339964,898.7015426,
2000,1,1,7,asc,1611,1376025,854.1433892,
2000,2,1,7,asc,1792,1537719,858.1021205,
2000,3,1,7,asc,1569,1802035,1148.524538,
2000,4,1,7,asc,1912,2162570,1131.051255,
2001,1,1,7,asc,1714,1901702,1109.511085,
2001,2,1,7,asc,1775,1968230,1108.861972,
2001,3,1,7,asc,1658,1824347,1100.329916,
2001,4,1,7,asc,1673,1854885,1108.717872,
2002,1,1,7,asc,1603,1748035,1090.47723,
2002,2,1,7,asc,1792,1946095,1085.990513,
2002,3,1,7,asc,1555,1650640,1061.504823,
2002,4,1,7,asc,1316,1409065,1070.718085,
2003,1,1,7,asc,1393,1506270,1081.313711,
2003,2,1,7,asc,1375,1473865,1071.901818,
2003,3,1,7,asc,1419,1514940,1067.610994,
2003,4,1,7,asc,1394,1478085,1060.319225,
2004,1,1,7,asc,1472,1603325,1089.215353,
2004,2,1,7,asc,1593,1671925,1049.544884,
2004,3,1,7,asc,1233,1334810,1082.570965,
2004,4,1,7,asc,1295,1436960,1109.621622,
2005,1,1,7,asc,1395,1553550,1113.655914,
2005,2,1,7,asc,1505,1701479,1130.550831,
2005,3,1,7,asc,1309,1510495,1153.930481,
2005,4,1,7,asc,1313,1530711,1165.811881,
2006,1,1,7,asc,1260,1435780,1139.507937,
2006,2,1,7,asc,1346,1535585,1140.850669,
2006,3,1,7,asc,1211,1441110,1190.016515,
2006,4,1,7,asc,1267,1471640,1161.515391,
2007,1,1,7,asc,1416,1643065,1160.356638,
2007,2,1,7,asc,1532,1715150,1119.549608,
2007,3,1,7,asc,1330,1477895,1111.199248,
2007,4,1,7,asc,1578,1694970,1074.125475,
2008,1,1,7,asc,1612,1755400,1088.957816,
2008,2,1,7,asc,1731,1798138,1038.785673,
2008,3,1,7,asc,1387,1491875,1075.612833,
2008,4,1,7,asc,1473,1543474,1047.843856,
2009,1,1,7,asc,1520,1717828,1130.15,
2009,2,1,7,asc,1452,1603514,1104.348485,
2009,3,1,7,asc,1572,1727156,1098.699746,
2009,4,1,7,asc,1182,1458735,1234.124365,
2010,1,1,7,asc,1660,2027226,1221.220482,
2010,2,1,7,asc,1658,1956601,1180.097105,
2010,3,1,7,asc,1423,1695845,1191.739283,
2010,4,1,7,asc,1402,1695340,1209.229672,
2011,1,1,7,asc,1568,1830080,1167.142857,
2011,2,1,7,asc,1525,1792681,1175.528525,
2011,3,1,7,asc,1291,1517675,1175.580945,
2011,4,1,7,asc,1262,1523300,1207.052298,
2012,1,1,7,asc,1421,1752375,1233.198452,
2012,2,1,7,asc,1374,1654475,1204.130277,
2012,3,1,7,asc,1360,1661750,1221.875,
2012,4,1,7,asc,1470,1832210,1246.401361,
1997,1,2,6,asc,38,133673,3517.710526,
1997,2,2,6,asc,45,149487,3321.933333,
1997,3,2,6,asc,442,1127284,2550.41629,
1997,4,2,6,asc,192,543797,2832.276042,
1998,1,2,6,asc,465,1075450,2312.795699,
1998,2,2,6,asc,492,1032636,2098.853659,
1998,3,2,6,asc,422,844407,2000.964455,
1998,4,2,6,asc,599,1237424,2065.816361,
1999,1,2,6,asc,581,1256467,2162.593804,
1999,2,2,6,asc,557,1091100,1958.886894,
1999,3,2,6,asc,532,1095620,2059.43609,
1999,4,2,6,asc,463,900959,1945.915767,
2000,1,2,6,asc,306,611631,1998.794118,
2000,2,2,6,asc,186,299800,1611.827957,
2000,3,2,6,asc,167,254002,1520.97006,
2000,4,2,6,asc,137,227110,1657.737226,
2001,1,2,6,asc,146,241360,1653.150685,
2001,2,2,6,asc,119,152364,1280.369748,
2007,1,2,6,asc,210,274697,1308.080952,
2007,2,2,6,asc,349,471700,1351.575931,
2007,3,2,6,asc,311,437220,1405.85209,
2007,4,2,6,asc,357,504199,1412.322129,
2008,1,2,6,asc,407,575435,1413.845209,
2008,2,2,6,asc,375,552840,1474.24,
2008,3,2,6,asc,266,394329,1482.43985,
2008,4,2,6,asc,338,506781,1499.352071,
2009,1,2,6,asc,306,445544,1456.026144,
2009,2,2,6,asc,339,453876,1338.867257,
2009,3,2,6,asc,262,385271,1470.5,
