year,qtr,company,region,type,employee,revenue,profit,ceo
1997,1,1,7,asc,1642,1440996,877.585876,CEO-1
1997,3,1,7,asc,1622,1377223,849.089417,CEO-1
1997,4,1,7,asc,1534,1390647,906.549561,CEO-1
1998,1,1,7,asc,1576,1285088,815.411194,CEO-1
1998,2,1,7,asc,1702,1278088,750.933044,CEO-1
1998,3,1,7,asc,1303,1092713,838.613220,CEO-1
1998,4,1,7,asc,1341,1152052,859.099182,CEO-1
1999,1,1,7,asc,1683,1567463,931.350586,CEO-1
1999,2,1,7,asc,1630,1537660,943.349670,CEO-1
1999,3,1,7,asc,1467,1412913,963.130859,CEO-1
1999,4,1,7,asc,1491,1339964,898.701538,CEO-1
2000,1,1,7,asc,1611,1376025,854.143372,CEO-1
2000,2,1,7,asc,1792,1537719,858.102112,CEO-1
2000,3,1,7,asc,1569,1802035,1148.524536,CEO-1
2000,4,1,7,asc,1912,2162570,1131.051270,CEO-1
2001,1,1,7,asc,1714,1901702,1109.511108,CEO-1-2
2001,2,1,7,asc,1775,1968230,1108.861938,CEO-1-2
2001,3,1,7,asc,1658,1824347,1100.329956,CEO-1-2
2001,4,1,7,asc,1673,1854885,1108.717896,CEO-1-2
2002,1,1,7,asc,1603,1748035,1090.477173,CEO-1-2
2002,2,1,7,asc,1792,1946095,1085.990479,CEO-1-2
2002,3,1,7,asc,1555,1650640,1061.504883,CEO-1-2
2002,4,1,7,asc,1316,1409065,1070.718140,CEO-1-2
2003,1,1,7,asc,1393,1506270,1081.313721,CEO-1-2
2003,2,1,7,asc,1375,1473865,1071.901855,CEO-1-2
2003,3,1,7,asc,1419,1514940,1067.610962,CEO-1-2
2003,4,1,7,asc,1394,1478085,1060.319214,CEO-1-2
2004,1,1,7,asc,1472,1603325,1089.215332,CEO-1-2
2004,2,1,7,asc,1593,1671925,1049.544922,CEO-1-2
2004,3,1,7,asc,1233,1334810,1082.570923,CEO-1-2
2004,4,1,7,asc,1295,1436960,1109.621582,CEO-1-2
2005,1,1,7,asc,1395,1553550,1113.655884,CEO-1-2
